file_path,file_name,lines,type,path,filename,season,episode,series
E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E01.eng.ass,Outcast_S01_E01.eng.ass,487,ass,E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E01.eng.ass,Outcast_S01_E01.eng.ass,1,1,The Outcast
E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E02.eng.ass,Outcast_S01_E02.eng.ass,603,ass,E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E02.eng.ass,Outcast_S01_E02.eng.ass,1,2,The Outcast
E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E03.eng.ass,Outcast_S01_E03.eng.ass,726,ass,E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E03.eng.ass,Outcast_S01_E03.eng.ass,1,3,The Outcast
E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E04.eng.ass,Outcast_S01_E04.eng.ass,407,ass,E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E04.eng.ass,Outcast_S01_E04.eng.ass,1,4,The Outcast
E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E05.eng.ass,Outcast_S01_E05.eng.ass,689,ass,E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E05.eng.ass,Outcast_S01_E05.eng.ass,1,5,The Outcast
E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E06.eng.ass,Outcast_S01_E06.eng.ass,617,ass,E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E06.eng.ass,Outcast_S01_E06.eng.ass,1,6,The Outcast
E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E07.eng.ass,Outcast_S01_E07.eng.ass,585,ass,E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E07.eng.ass,Outcast_S01_E07.eng.ass,1,7,The Outcast
E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E08.eng.ass,Outcast_S01_E08.eng.ass,477,ass,E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E08.eng.ass,Outcast_S01_E08.eng.ass,1,8,The Outcast
E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E09.eng.ass,Outcast_S01_E09.eng.ass,547,ass,E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E09.eng.ass,Outcast_S01_E09.eng.ass,1,9,The Outcast
E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E10.eng.ass,Outcast_S01_E10.eng.ass,518,ass,E:/z_project_extract/The Outcast/Season 1/Subtitles/Outcast_S01_E10.eng.ass,Outcast_S01_E10.eng.ass,1,10,The Outcast
