file_path,file_name,container,video_codec,audio_codec,resolution_x,resolution_y,duration,path,filename,season,episode,series
E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E01.mkv,Outcast_S01_E01.mkv,mkv,h264,aac,1280,720,00:22:09.666000000,E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E01.mkv,Outcast_S01_E01.mkv,1,1,The Outcast
E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E02.mkv,Outcast_S01_E02.mkv,mkv,h264,aac,1280,720,00:22:58.115000000,E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E02.mkv,Outcast_S01_E02.mkv,1,2,The Outcast
E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E03.mkv,Outcast_S01_E03.mkv,mkv,h264,aac,1280,720,00:20:51.998000000,E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E03.mkv,Outcast_S01_E03.mkv,1,3,The Outcast
E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E04.mkv,Outcast_S01_E04.mkv,mkv,h264,aac,1280,720,00:22:17.378000000,E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E04.mkv,Outcast_S01_E04.mkv,1,4,The Outcast
E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E05.mkv,Outcast_S01_E05.mkv,mkv,h264,aac,1280,720,00:23:04.487000000,E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E05.mkv,Outcast_S01_E05.mkv,1,5,The Outcast
E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E06.mkv,Outcast_S01_E06.mkv,mkv,h264,aac,1280,720,00:23:23.695000000,E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E06.mkv,Outcast_S01_E06.mkv,1,6,The Outcast
E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E07.mkv,Outcast_S01_E07.mkv,mkv,h264,aac,1280,720,00:24:47.369000000,E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E07.mkv,Outcast_S01_E07.mkv,1,7,The Outcast
E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E08.mkv,Outcast_S01_E08.mkv,mkv,h264,aac,1280,720,00:20:13.875000000,E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E08.mkv,Outcast_S01_E08.mkv,1,8,The Outcast
E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E09.mkv,Outcast_S01_E09.mkv,mkv,h264,aac,1280,720,00:22:26.236000000,E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E09.mkv,Outcast_S01_E09.mkv,1,9,The Outcast
E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E10.mkv,Outcast_S01_E10.mkv,mkv,h264,aac,1280,720,00:20:06.430000000,E:/z_project_extract/The Outcast/Season 1/Outcast_S01_E10.mkv,Outcast_S01_E10.mkv,1,10,The Outcast
